到餐客户ID,门店ID,门店名称,门店分层,大区,区域,代理城市,签约私海BD,c2是否签约,外卖客户ID,BD是否有搜索权限,平台客户ID
49879944,1096915509,嘉味烤馍,下沉城市商家,北部大区,甘青新区域,嘉峪关,陈嘉欣,1,22956455,1,1096989935
51300919,1991137889,黎栋家常菜,下沉城市商家,南部大区,湖北区域,大悟县,王咏,0,,1,1111302242
51178273,1750500831,好食汇·糖水铺子,下沉城市商家,南部大区,湖北区域,大悟县,林佳成,0,22974522,0,1110062249
48166854,98137723,南星酒店（汇桥大道店）,下沉城市商家,南部大区,湖北区域,天门,邓子阳,0,23109759,1,1070120301
50921900,683076412,重庆四间火锅,下沉CKA品牌门店,南部大区,云南区域,瑞丽,李秋萍,0,23084091,1,1107825763
53723703,1680048935,马东酿皮,下沉城市商家,北部大区,甘青新区域,积石山保安族东乡族撒拉族自治县,肖文林,0,,0,1166611243
54037343,1024058612436670,欧速咖啡东南亚美食店,下沉城市商家,南部大区,云南区域,瑞丽,李秋萍,1,27811801,1,1169667160
53085108,1859541275,云大嫂摊摊鹅（云谷小镇店）,下沉本地连锁,南部大区,云南区域,嵩明县,赵瑞阁,0,24912383,0,1150879016
50159367,177795000,佰家粥铺（交通局店）,下沉城市商家,南部大区,云南区域,鲁甸县,马荣月,0,,0,1095844804
52920992,546596736,笨豆腐百姓菜馆,下沉城市商家,南部大区,湖北区域,通城,胡钦,0,,1,1151000742
53601751,1013789335233332,美韩金月光傣味饭馆,下沉城市商家,南部大区,云南区域,瑞丽,陈显泽,1,27094529,1,1161610972
50941386,99088440,木炭啤酒烤鸭（赤水源广场店）,下沉城市商家,南部大区,云南区域,镇雄县,吴翔,0,25447484,1,1108172195
50926273,193215641,黄潭传统鳝鱼粉面馆（新城店）,下沉城市商家,南部大区,湖北区域,天门,田静媛,0,,1,1101138793
43244626,1023642875518496,喜东门龙虾·烧烤大排档（小南湖店）,下沉CKA品牌门店,南部大区,湖北区域,天门,张翩,0,27295303,0,1007627742
51016768,1179641097,醉得意烤吧（德胜园店）,下沉城市商家,北部大区,甘青新区域,临泽县,赵梦婷,0,22903198,1,1101094686
45406734,1816432535,味加味·汉堡比萨（誉天下名城店）,下沉城市商家,南部大区,湖北区域,黄梅县,王燕,1,,1,1040564764
52819803,40551217,正宗哈尔滨饺子馆（武当山店）,下沉城市商家,南部大区,湖北区域,丹江口市,李学锋,0,24576011,1,1147084336
47940994,118390788,花园人家（松竹街店）,下沉城市商家,南部大区,湖北区域,孝昌县,樊迅,0,23026872,1,1066642491
49781545,52616874,大冶市摩点妙域食品店（东风路店）,下沉城市商家,南部大区,湖北区域,大冶市,龚进,0,23057663,1,1096127454
53375190,1486978356,米香煲仔饭（金谷鑫城店）,下沉城市商家,南部大区,湖北区域,鄂州,李炎龙,0,,0,1156696624
48321960,1218623692,清真·田园居家酸菜牛肉烤火锅（镇雄店）,下沉城市商家,南部大区,云南区域,镇雄县,吴翔,0,25480910,1,1070743010
50859401,1347795038,留今岁月中西餐厅,下沉城市商家,南部大区,湖北区域,大悟县,林佳成,0,22963917,1,1100934612
52914191,586793172,进哥传统卤菜,下沉城市商家,南部大区,湖北区域,天门,孙傲,1,,1,1146199530
48627946,1127186855,边城蜀味火锅串串,下沉城市商家,北部大区,甘青新区域,嘉峪关,王英霞,1,22957334,1,1072230132
52144390,1723819848,楚山牛炒饭铺（黄梅店）,下沉CKA品牌门店,南部大区,湖北区域,黄梅县,沈阳,0,,1,1116548499
49050918,1389761033,老马扎市井小火锅（望江名门店）,下沉CKA品牌门店,北部大区,甘青新区域,积石山保安族东乡族撒拉族自治县,肖文林,1,22911777,0,1080310627
50786513,1055615723,牛哥牛嫂广式牛肉牛杂,下沉城市商家,南部大区,湖北区域,天门,田静媛,0,23130306,1,1106221286
3416750,759142646,丙灿园麻辣鱼火锅,下沉城市商家,南部大区,云南区域,鲁甸县,马荣月,0,,1,1004124920
51401984,774270955,德人牧香农场鲜奶吧（澧县银谷店）,下沉城市商家,南部大区,湖南区域,澧县,钟荣荣,0,22842108,1,1113602558
50033864,165524723,华孝士（孝昌中百店）,下沉城市商家,南部大区,湖北区域,孝昌县,阳佳龙,0,22985512,0,1095026769
50465661,194286757,锦渔莊名火锅,下沉城市商家,北部大区,甘青新区域,临泽县,赵梦婷,0,22909760,1,1103258227
51678548,1120482136,悦隽面馆,下沉城市商家,特区,京津冀区域,宁河县,韩文博,0,23274641,1,1113043085
53569150,1012527532364289,静宁卤煌烧鸡（中鹏店）,下沉城市商家,北部大区,甘青新区域,嘉峪关,郭江荣,1,,1,1161502418
53275116,4526137,毛毛餐馆（人民路店）,下沉城市商家,南部大区,江西区域,高安市,况国文,0,25161101,1,1156273098
50746986,1494178901,焦本味·铁板焦饭（黄梅鹏泰百货店）,下沉CKA品牌门店,南部大区,湖北区域,黄梅县,沈阳,0,,0,1106117219
52891379,514856961,小红帽夜烧烤（新华北路店）,下沉城市商家,北部大区,甘青新区域,嘉峪关,李静,1,,1,1146295363
52630663,1901861538,耿记小龙虾（雅兴店）,下沉城市商家,南部大区,湖北区域,大冶市,张雷鸣,0,,0,1140090383
52836288,1657438045,温饱饱家干锅鸡,下沉城市商家,南部大区,云南区域,嵩明县,徐福樑,1,,1,1144437739
52243484,1057996552,悟空烧烤（团结路店）,下沉城市商家,南部大区,云南区域,瑞丽,陈显泽,0,23782000,1,1119259778
48239525,1941346477,月光煲盒（黄狮海店）,下沉城市商家,南部大区,湖北区域,大冶市,刘悦,1,23196099,1,1071009768
47115123,730637663,贰陆捌美蛙鱼头火锅,下沉城市商家,南部大区,湖北区域,丹江口市,於海燕,1,,1,1061938697
2156419,1751539737,唐唐小妹山葵烤肉,下沉城市商家,南部大区,湖南区域,慈利县,曾庆艮,0,24470855,1,1001883260
51472694,1780203076,楚山牛炒饭铺（黄石汪仁镇店）,下沉CKA品牌门店,南部大区,湖北区域,大冶市,黄雨萱,0,,1,1113312340
52578633,1182666792,余记有间烤吧,下沉城市商家,南部大区,湖北区域,通城,李隽,0,24243770,1,1139267769
52695197,1796965413,井字格新疆炒米粉,下沉城市商家,北部大区,甘青新区域,静宁县,张艳朋,1,24221242,0,1139576968
40591935,1526589675,初甜蛋糕·破蛋日,下沉城市商家,南部大区,湖南区域,慈利县,曾庆艮,0,22841026,0,1004681535
54076485,1026210760455839,烟火小灶,下沉城市商家,南部大区,湖北区域,大悟县,王咏,1,27873086,1,1172917398
45637641,1022793326,牦牛道米线（大悟县中百店）,下沉城市商家,南部大区,湖北区域,大悟县,林佳成,0,,0,1042797742
52386628,683916191,铭德芝士烤冷面手工炸串,下沉城市商家,特区,京津冀区域,宁河县,韩文博,0,23972734,1,1120886452
50870612,1614492310,曾记乡村铁锅剔骨鸭,下沉城市商家,南部大区,云南区域,镇雄县,吴翔,0,26516623,1,1106434536
52252874,1867042678,饺千寻大冶东岳路店,下沉城市商家,南部大区,湖北区域,大冶市,张青松,0,23795182,1,1118029174
2980858,533016927,今喜手作烘焙工作室,下沉城市商家,特区,京津冀区域,宁河县,刘蕊,0,23329870,1,1002298272
52520963,1666391574,川井盐帮（亿嘉汇购物中心店）,下沉城市商家,南部大区,云南区域,镇雄县,岳瑶,0,24161801,1,1140267530
53736090,1801116705,知馨客·川菜·西北菜馆（紫轩店）,下沉城市商家,北部大区,甘青新区域,嘉峪关,李静,0,,1,1165520353
50308516,1349990963,辣道,下沉CKA品牌门店,南部大区,云南区域,瑞丽,陈显泽,0,23169535,1,1096447606
50743751,1828492120,伊梦烘焙（新宇小区店）,下沉城市商家,南部大区,江西区域,高安市,刘金荣,0,23273390,1,1103294567
52363314,907138341,李员外柴火鸡甲鱼馆,下沉城市商家,南部大区,湖北区域,大悟县,林佳成,0,23943026,1,1120550956
701938,5495304,星香源美食府,下沉城市商家,南部大区,湖南区域,澧县,刘俊,0,,1,1000751454
50696590,150406594,蒸功夫（南门街店）,下沉城市商家,南部大区,福建区域,永定区,余美珠,0,23013913,1,1101824880
50380146,192072150,铜湖大酒店,下沉城市商家,南部大区,江西区域,高安市,刘金荣,0,23259008,1,1103045440
53281685,1716672347,帆帆家小食院,下沉城市商家,南部大区,云南区域,景东彝族自治县,唐丽,0,,1,1156424449
51499497,609010495,渝辣宴重庆串串火锅合作社,下沉城市商家,南部大区,云南区域,嵩明县,赵瑞阁,0,23119411,1,1113914999
51615027,1743653374,庐山市特色农家,下沉城市商家,南部大区,江西区域,星子,郝志鹏,0,23187319,1,1115436932
40884299,194704768,卡比乐休闲餐厅炸鸡·汉堡（紫御山水店）,下沉城市商家,南部大区,湖南区域,桑植县,钟耀华,0,,1,1004851850
52879909,1936352777,孟师傅北京烤鸭,下沉城市商家,南部大区,湖北区域,大冶市,吴洵,0,,1,1144122352
50250578,1616119080,五龙壮乡全锅小黄牛私房菜,下沉城市商家,南部大区,云南区域,师宗县,阮琳娜,0,23234250,1,1096543049
51696667,1112454068,DAISY LEE·黎里·花艺·派对·面包·甜品,下沉城市商家,特区,京津冀区域,宁河县,刘蕊,0,23270659,1,1114766327
54338470,1024071320972045,范小渔的纸包鱼（天门店）,下沉城市商家,南部大区,湖北区域,天门,田静媛,0,28258790,1,1178715192
50103384,1637502577,遇见淘淘鸡（叫花鸡.高安店）,下沉城市商家,南部大区,江西区域,高安市,刘金荣,0,,1,1098913830
52916782,1274007299,荣昌食馆,下沉城市商家,南部大区,云南区域,景东彝族自治县,唐丽,0,,1,1145125941
43402130,178107647,聚福楼（站前店）,下沉城市商家,南部大区,湖北区域,鄂州,李炎龙,1,23146976,1,1008552557
53049232,736119153,凌夏十九奶皮子酸奶酪,下沉城市商家,南部大区,湖南区域,澧县,钟荣荣,0,24870925,1,1151922438
53048459,1231818543,糖太真糕点店,下沉城市商家,南部大区,湖南区域,澧县,汪春久,1,24869695,1,1151471958
49942032,538877381,宏天姥家大锅台,下沉城市商家,南部大区,湖南区域,桑植县,钟耀华,0,,1,1095976227
45445336,699794973,花锦簇干锅虾（里外里店）,下沉城市商家,南部大区,云南区域,嵩明县,张艳松,1,23078496,1,1040591377
51504228,1702435637,老朋友休闲吧,下沉城市商家,南部大区,云南区域,鲁甸县,马荣月,0,23342446,1,1111638508
50497588,804095369,小明·现做煲仔饭（罗马街店）,下沉城市商家,南部大区,湖北区域,孝昌县,阳佳龙,1,26193965,1,1103262845
52736657,1679652472,曹氏鸭脖（吉祥巷店）,下沉城市商家,南部大区,云南区域,瑞丽,陈丽英,0,,1,1145110097
53439646,535914923,十元小地锅,下沉城市商家,南部大区,湖北区域,大冶市,张雷鸣,0,26836494,1,1152681124
46773054,905329800,扎西山寨（嵩明店）,下沉城市商家,南部大区,云南区域,嵩明县,赵瑞阁,0,,1,1060063260
52877627,1124537049,汉堡奶茶,下沉城市商家,南部大区,云南区域,嵩明县,赵瑞阁,0,,1,1145272247
50559177,1158514631,上上签串串火锅,下沉城市商家,南部大区,云南区域,泸西县,唐关玲,1,23200203,1,1101465952
49277522,1956366684,优滋贝诺（怀宁中医院店）,下沉城市商家,北部大区,安徽区域,怀宁县,汪祥,0,,1,1081745442
3269750,90631160,松滋鸡馆（创业大道店）,下沉城市商家,南部大区,湖北区域,鄂州,李书才,0,26280131,1,1003267135
53990079,1024063133609137,一品鲜猛火下饭菜,下沉城市商家,南部大区,湖北区域,大冶市,郭萍萍,1,27744818,1,1170590683
50984612,987281469,宋记烧烤（新光路店）,下沉城市商家,南部大区,云南区域,瑞丽,张炫,0,,1,1108178459
53042411,1578109552,米悦朝鲜族拌饭（嘉峪关店）,下沉CKA品牌门店,北部大区,甘青新区域,嘉峪关,王英霞,1,24862841,0,1151921380
52812566,153146852,青山小吃,下沉城市商家,南部大区,云南区域,师宗县,阮琳娜,1,24566687,1,1144117029
53246621,828151789,易娘娘面对面,下沉城市商家,南部大区,湖北区域,通城,王宁,0,25121660,1,1152960031
52296875,190797877,积石山伊鼎火锅,下沉本地连锁,北部大区,甘青新区域,积石山保安族东乡族撒拉族自治县,肖文林,0,23856406,1,1118083260
51257278,1328770830,盐米宝粉馆,下沉城市商家,南部大区,湖南区域,澧县,汪春久,1,22841697,1,1108845253
45034133,181719485,云庄饭店,下沉城市商家,南部大区,云南区域,师宗县,阮琳娜,0,,1,1029993650
51332282,1188215186,火燃牛昭通小肉串,下沉城市商家,南部大区,云南区域,镇雄县,岳瑶,0,,0,1112149960
51064272,178077858,酸汤肥牛面,下沉城市商家,南部大区,湖北区域,黄梅县,沈阳,0,,1,1108865769
41062945,190921457,刘一手重庆火锅（黄梅店）,下沉KA品牌门店,南部大区,湖北区域,黄梅县,王燕,1,22840955,0,1004943111
52404418,1691925279,巡蜜时光（癿藏镇店）,下沉CKA品牌门店,北部大区,甘青新区域,积石山保安族东乡族撒拉族自治县,肖文林,1,23995230,1,1138804118
52160783,1855666914,漫星小院花园餐厅,下沉城市商家,南部大区,云南区域,麻栗坡县,王俊娇,0,23665121,1,1119250528
663726,6864397,川悦食空成都火锅,下沉城市商家,南部大区,湖北区域,天门,邓子阳,0,23144858,1,1000731481
49366511,1927256768,袁记肉夹馍（中鹏嘉年华店）,下沉CKA品牌门店,北部大区,甘青新区域,嘉峪关,郭江荣,0,,0,1083071822
50085795,119591162,聚朋轩食府,下沉城市商家,特区,京津冀区域,宁河县,孟令鹏,1,23243257,1,1096430594
50436947,1427528126,贵州水城羊肉米线（瑞江路店）,下沉城市商家,南部大区,云南区域,瑞丽,陈明龙,0,23197198,1,1099825986
50653580,1636722260,家味鲜家常菜馆,下沉城市商家,南部大区,湖北区域,大悟县,王咏,0,,1,1106005548
40684595,160008020,美味基·中华全鸡（金康商城店）,下沉CKA品牌门店,南部大区,云南区域,麻栗坡县,王俊娇,0,23338944,1,1004728687
54053460,1357020565,闽南漳州四果汤（永定三中店）,下沉城市商家,南部大区,福建区域,永定区,余美珠,1,,1,1173058063
54204962,160764219,金氏兄弟烧烤（青城林语店）,下沉城市商家,南部大区,江西区域,高安市,熊康,1,28059352,1,1176253576
48334522,1766309060,乌蒙山寨民俗餐厅,下沉城市商家,南部大区,云南区域,镇雄县,吴翔,0,25973213,1,1071047746
52809762,1283098611,欧咖咖啡（创业园店）,下沉城市商家,南部大区,湖北区域,大冶市,吴洵,0,,1,1146832892
51095371,1743468558,东惠汤粉王,下沉城市商家,南部大区,湖北区域,通城,李隽,0,22975366,1,1108670719
50919712,787939471,卤侠派现卤现捞（三小店）,下沉城市商家,南部大区,湖北区域,黄梅县,王燕,0,,1,1101338630
52458424,1536355942,臻品江山自助餐厅,下沉城市商家,北部大区,甘青新区域,临泽县,赵梦婷,0,,1,1139155630
44322989,5964692,大荣和干锅（总店）,下沉城市商家,北部大区,甘青新区域,嘉峪关,闻俊祺,1,22924889,1,1009494678
53737703,1017224903395921,杰仔三文鱼刺身（慈利店）,下沉城市商家,南部大区,湖南区域,慈利县,曾庆艮,0,,1,1167021255
52383006,814051000,马萍清真食馆,下沉城市商家,南部大区,云南区域,龙陵县,杨翠要,0,23968669,1,1121102795
54294580,735649267,武汉腰花面馆（庙岭店）,下沉城市商家,南部大区,湖北区域,鄂州,罗文聪,0,28193344,1,1175396382
51192336,1183981463,沁香源餐厅,下沉城市商家,南部大区,云南区域,嵩明县,付友,0,,1,1108737511
51504650,1609099686,法朵（万达店）,下沉城市商家,南部大区,湖南区域,澧县,刘俊,1,,1,1113365882
49000849,1450218129,文彬味道（澧县万达店）,下沉城市商家,南部大区,湖南区域,澧县,钟荣荣,1,,1,1076978606
53356809,1016362311106002,椰椰耶清补凉,下沉城市商家,南部大区,湖北区域,天门,田静媛,1,25383074,1,1155897623
48560517,1796856500,暖心粥铺（慈利店）,下沉城市商家,南部大区,湖南区域,慈利县,张娟,0,,1,1073707520
48285643,1138130581,本味私房菜馆,下沉城市商家,北部大区,甘青新区域,嘉峪关,闻俊祺,0,26071491,1,1070678601
50694550,1299885167,何记雪糕批发（刘家坡店）,下沉CKA品牌门店,南部大区,湖北区域,天门,孙傲,1,23221952,0,1101074730
3309422,1226387960,韩大妈手工美食店,下沉城市商家,南部大区,江西区域,高安市,刘金荣,0,,1,1003288768
53988374,1009919122375262,皮蛋鲜肉馄饨,下沉城市商家,南部大区,江西区域,高安市,熊康,0,27737423,1,1169759522
40434550,109568431,胖姐万州一绝天天烤活鲜鱼（总店）,下沉城市商家,南部大区,云南区域,镇雄县,岳瑶,0,25908853,1,1004604135
51731342,1172635380,夏厨家常菜,下沉城市商家,南部大区,湖北区域,天门,田静媛,0,,1,1115270157
50500221,1327726969,小牛羊大排档,下沉城市商家,南部大区,湖北区域,黄梅县,沈阳,0,21006465,1,1101361203
53308131,1275550799,穆源食坊,下沉城市商家,南部大区,云南区域,鲁甸县,马荣月,0,,1,1152315881
44313296,185442574,祁连山·百岁羊铜锅涮肉（总店）,下沉城市商家,北部大区,甘青新区域,嘉峪关,李静,1,22988998,1,1009485379
48895905,968207456,左香肉夹馍老潼关,下沉城市商家,特区,京津冀区域,宁河县,韩文博,0,23313217,1,1078013228
3070552,630098169,栗不了（天门人民大道店）,下沉CKA品牌门店,南部大区,湖北区域,天门,易清阳,0,,1,1003134819
52635086,513178173,止渴,下沉城市商家,南部大区,江西区域,高安市,刘金荣,0,24323892,1,1146350039
49712443,1016361815619950,程小年藤椒鱼,下沉城市商家,南部大区,湖北区域,大冶市,龚进,0,26986217,1,1097118423
53856153,1023200398724228,兰州牛肉面（安居店）,下沉城市商家,南部大区,江西区域,高安市,陈俊慧,1,,1,1169467085
50044711,709148135,左记大排档（光谷悦公馆店）,下沉城市商家,南部大区,湖北区域,鄂州,李书才,1,23085357,1,1097177430
53166316,1014219676736515,妲己娘娘·坚果面包·甜品（嘉峪关店）,下沉城市商家,北部大区,甘青新区域,嘉峪关,郭江荣,0,,0,1152951043
51241428,1029693167,静泽源招牌菜活水煮鱼,下沉城市商家,南部大区,云南区域,瑞丽,陈显泽,1,,1,1114451810
53803152,1018926492186077,李福气火锅串串,下沉城市商家,南部大区,湖北区域,大悟县,林佳成,1,27433879,1,1166418781
53714106,177391288,梁记港式烧鸭,下沉城市商家,南部大区,湖南区域,澧县,周俊,1,27278066,1,1166303319
52352545,1015949807107032,重庆品味轩,下沉城市商家,南部大区,湖北区域,鄂州,罗文聪,0,,1,1118720392
50562330,1979667506,口口香炸串（商业道店）,下沉城市商家,特区,京津冀区域,宁河县,孟令鹏,0,23273816,1,1101566054
53176985,1404793225,悦里小馆,下沉城市商家,南部大区,云南区域,镇雄县,岳瑶,1,24986924,1,1151091142
48344332,1878383620,左百万北京烤鸭（豪美店）,下沉城市商家,南部大区,湖南区域,澧县,周俊,1,,1,1071801650
53274030,1247632126,夏记鱼丸老店,下沉城市商家,南部大区,湖北区域,鄂州,罗文聪,1,25159071,1,1157022414
53454058,1011204773443256,Morkash摩卡希（静宁店）,下沉城市商家,北部大区,甘青新区域,静宁县,郑江利,0,,1,1153082664
54263270,1024071298031950,馋嘴鸭恋虾串串火锅,下沉城市商家,北部大区,甘青新区域,康乐县,张晓玲,1,,1,1175232228
50282046,1926352449,杨杨蛋糕,下沉城市商家,南部大区,湖北区域,丹江口市,於海燕,0,,1,1100257847
40542294,133277901,千旺客中式快餐（中百店）,下沉城市商家,南部大区,湖北区域,大悟县,王咏,0,,1,1003878874
47743775,1969205362,巴厘岛时尚自助餐厅,下沉城市商家,北部大区,安徽区域,怀宁县,汪祥,0,,1,1066856026
52895662,522702985,帝煌烤卤（高安安居路店）,下沉CKA品牌门店,南部大区,江西区域,高安市,陈俊慧,1,24674997,0,1144246402
54056860,1018925710736216,千寻半日闲,下沉城市商家,南部大区,湖北区域,黄梅县,黎仲,0,27841610,1,1173260184
52425251,622452952,樟树下融合料理,下沉城市商家,南部大区,云南区域,龙陵县,杨翠要,0,,1,1137497689
50096457,1028353765116119,WE LUCKY咖啡（汤家庄店）,下沉城市商家,南部大区,湖北区域,丹江口市,李学锋,0,23192277,0,1096339065
49382695,1112312563,建水兄弟烧烤（阿庐大街店）,下沉城市商家,南部大区,云南区域,泸西县,杨炫羽,0,23199150,1,1083206296
48204665,893869011,栗秋烘焙,下沉城市商家,南部大区,湖北区域,大冶市,张雷鸣,0,23149938,1,1070180508
52710674,157195131,万家灯火·新概念主题餐厅（桑植店）,下沉城市商家,南部大区,湖南区域,桑植县,钟耀华,0,,1,1144264744
51195786,1023852447,紫竹苑山庄,下沉城市商家,南部大区,云南区域,嵩明县,张艳松,0,,1,1110115584
52773900,163389902,清真昭通小肉串,下沉城市商家,南部大区,云南区域,师宗县,阮琳娜,1,24513945,1,1144575903
50752362,1722750286,周记同安香骨鸡腿,下沉城市商家,北部大区,安徽区域,怀宁县,张磊,0,22904911,1,1105817728
50582921,1584505409,栗不了（大悟府前街店）,下沉CKA品牌门店,南部大区,湖北区域,大悟县,林佳成,0,22970832,1,1100045509
50931190,1857234534,龙保傣味特色烧烤（杨林大学城店）,下沉城市商家,南部大区,云南区域,嵩明县,张艳松,0,,1,1101538741
48488328,193322976,标头炸串（太和店）,下沉CKA品牌门店,南部大区,湖北区域,鄂州,姜瀚,1,,0,1071295211
44980262,97181469,塔城人家,下沉城市商家,北部大区,甘青新区域,静宁县,张艳朋,1,,1,1027811623
51164209,1916101666,绿达康生鲜果蔬,下沉城市商家,南部大区,湖北区域,丹江口市,於海燕,0,23267832,1,1109181960
51870372,168962052,云上咖啡（街心花园店）,下沉城市商家,南部大区,云南区域,镇雄县,杜代奇,0,21842305,1,1106757167
49305085,1988672879,熠品家宴,下沉城市商家,南部大区,湖北区域,大悟县,林佳成,0,,1,1076146132
53274317,1617757241,庐山市食在湘饭店,下沉城市商家,南部大区,江西区域,星子,于丽娟,1,,0,1155791217
46346934,972492793,三米粥铺（大冶店）,下沉城市商家,南部大区,湖北区域,大冶市,汪婷婷,0,,0,1054794311
50724055,1505395288,饭爷炒饭（怀中店）,下沉城市商家,北部大区,安徽区域,怀宁县,汪祥,1,,1,1101426585
50985643,1332369207,恋上麻椒鸡（易都摩尔店）,下沉城市商家,北部大区,甘青新区域,嘉峪关,闻俊祺,1,22963466,1,1101691693
50278213,1781274155,茶鲜记（汇尔佳店）,下沉城市商家,南部大区,云南区域,嵩明县,赵瑞阁,0,16316893,1,1067422867
53305037,1387295468,廣老板（高安店）,下沉CKA品牌门店,南部大区,江西区域,高安市,熊康,0,25201132,1,1152664991
50680992,1439960432,百味集大面筋（丹江口店）,下沉城市商家,南部大区,湖北区域,丹江口市,於海燕,0,,1,1101724210
54298226,1026206161977003,胖小哥8元鸡腿饭,下沉城市商家,南部大区,湖北区域,天门,邓子阳,1,,1,1175047372
51779250,1015525365800371,大脸三文鱼,下沉城市商家,南部大区,江西区域,高安市,熊康,0,23316351,1,1116353548
50432962,1622304137,焖有味鸡公煲（衙门路店）,下沉城市商家,南部大区,湖北区域,天门,陈亨,0,23181898,1,1100325188
40100292,542782998,鼎金野生菌火锅（瑞丽古城店）,下沉本地连锁,南部大区,云南区域,瑞丽,李秋萍,0,,1,1003658743
